,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
211,Fiat,Shahin,Sedan,Manual,2010,Gas,1400,200000,White,Ain Shams,55000
212,Mitsubishi,Magna,Sedan,Manual,2001,Gas,1600,300000,Light grey,Touhk,158000
213,Peugeot,205,Hatchback,Manual,1993,Gas,1300,233000,White,Tala,45000
214,Lada,Granta,Sedan,Manual,2016,Gas,1600,180000,Gray,Kom Hamada,155000
215,Fiat,Punto,Hatchback,Automatic,2007,Gas,1600,240000,Cyan,6 October,175000
216,Porsche,Macan,SUV,Automatic,2021,Gas,1600,76000,Black,Tagamo3 - New Cairo,2500000
217,Peugeot,301,Sedan,Automatic,2016,Gas,1600,250000,Petroleum,Nasr city,290000
218,Hyundai,Verna,Sedan,Manual,2014,Gas,1600,200000,Champagne,Nasr city,160000
219,Renault,Fluence,Sedan,Automatic,2015,Gas,1600,195000,Silver,Tagamo3 - New Cairo,310000
220,Fiat,Punto,Hatchback,Automatic,2016,Gas,1400,111000,Black,Damietta,330000
221,Chery,Arrizo 5,Sedan,Automatic,2023,Gas,1500,9800,Silver,Sheikh Zayed City,425000
222,Jeep,Grand Cherokee,4X4,Automatic,2012,Gas,3700,104000,Black,Mohandessin,545000
223,BMW,318,Sedan,Automatic,2019,Gas,1500,40000,Light grey,Tagamo3 - New Cairo,1150000
224,Hyundai,Tucson,SUV,Automatic,2018,Gas,1600,145000,White,Cairo,775000
225,Hyundai,Tucson,SUV,Automatic,2012,Gas,2000,180000,Gray,El Haram,570000
226,Citroën,C3,Hatchback,Automatic,2022,Gas,1200,3500,Black,Alexandria,550000
227,Hyundai,Elantra AD,Sedan,Automatic,2017,Gas,1600,140000,Gray,Sharqia,470000
228,Byd,F3,Sedan,Manual,2020,Gas,1600,185000,Blue,Shobra,250000
229,Mitsubishi,Pajero,4X4,Automatic,2008,Gas,3800,260000,Black,Dakahlia,680000
230,Byd,F3,Sedan,Manual,2021,Gas,1600,23000,Silver,Cairo,270000
231,MG,360,Sedan,Automatic,2019,Gas,1500,88000,Silver,Maadi,340000
232,Seat,Ibiza,Sedan,Automatic,2020,Gas,1600,46000,White,Tagamo3 - New Cairo,550000
233,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2015,Gas,1600,120000,Silver,Al Shorouk,380000
234,Renault,Logan,Sedan,Automatic,2019,Gas,1600,75000,Blue,Helwan,295000
235,Chevrolet,Optra,Sedan,Manual,2006,Gas,1600,185000,Black,Heliopolis,155000
236,Volkswagen,Golf 5,Hatchback,Automatic,2008,Gas,2000,80000,Black,Cairo,320000
237,Skoda,Fantasia,Sedan,Automatic,2011,Gas,1600,150000,Black,Heliopolis,385000
238,Hyundai,Elantra AD,Sedan,Automatic,2019,Gas,1600,103000,Light grey,Nasr city,490000
239,Renault,Sandero Step Way,Hatchback,Manual,2013,Gas,1600,102000,Petroleum,Imbaba,175000
240,Hyundai,Creta,SUV,Automatic,2016,Gas,1600,103000,White,Mansoura,475000
241,Volkswagen,Passat,Sedan,Automatic,2000,Gas,1600,204000,Gray,Beheira,168000
242,Toyota,Corolla,Sedan,Automatic,2010,Gas,1600,200000,Silver,El Minya,225000
243,Opel,Vectra,Sedan,Automatic,2008,Gas,1600,86000,Black,Alexandria,325000
245,MG,HS,SUV,Automatic,2022,Gas,1500,41000,Black,Nasr city,845000
246,Geely,Emgrand 7,Sedan,Manual,2015,Gas,1600,155000,White,Alexandria,180000
247,Renault,Duster,SUV,Manual,2016,Gas,1600,200000,Gray,Cairo,350000
248,BMW,318,Sedan,Automatic,2018,Gas,1500,94000,White,Faiyum,890000
249,BMW,X1,SUV,Automatic,2014,Gas,1600,176000,Silver,El Mahalla,540000
250,Toyota,Camry,Sedan,Automatic,2018,Gas,1600,150000,Black,Cairo,85000
251,Mercedes,E 200,Sedan,Automatic,1996,Gas,2000,200000,White,Alexandria,350000
252,Opel,Astra,Sedan,Automatic,2015,Gas,1600,160000,Brown,Sheikh Zayed City,368000
253,Kia,Cerato,Sedan,Automatic,2010,Gas,1600,160000,Black,Luxor,415000
254,Peugeot,E-2008,SUV,Automatic,2020,Gas,1600,53000,Silver,Tagamo3 - New Cairo,520000
255,Subaru,XV,SUV,Automatic,2016,Gas,1600,131000,Blue,Tagamo3 - New Cairo,550000
256,Mercedes,A 200,Hatchback,Automatic,2022,Gas,1300,28000,White,Sheikh Zayed City,1800000
257,BMW,520,Sedan,Automatic,2018,Gas,1600,52000,Dark blue,Tagamo3 - New Cairo,1650000
258,MG,ZS,Sedan,Automatic,2021,Gas,1500,43000,Black,Sheikh Zayed City,520000
259,Volkswagen,Bora,Hatchback,Manual,2001,Gas,1600,115000,Silver,Cairo,190000
260,Nissan,Sunny,Sedan,Automatic,2022,Gas,1600,51000,Black,Imbaba,355000
261,Audi,Q3,SUV,Automatic,2022,Gas,1400,8000,Silver,Mokattam,1550000
262,Chevrolet,Lanos,Sedan,Manual,2014,Natural Gas,1500,133000,Red,Alexandria,160000
263,Kia,Sorento,SUV,Automatic,2020,Gas,2400,69000,Dark blue,Giza,1000100
264,Subaru,XV,SUV,Automatic,2015,Gas,1600,62000,Dark red,Maadi,530000
265,Chevrolet,Lanos,Sedan,Manual,2016,Gas,1500,215000,Dark red,Zagazig,155000
266,Mercedes,GLC 300,4X4,Automatic,2020,Gas,2000,90000,White,Tagamo3 - New Cairo,2385000
267,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Gas,1600,200000,Gray,Nasr city,360000
268,Hyundai,Verna,Sedan,Manual,2010,Gas,1600,231000,Black,Cairo,140000
269,Dodge,Ram,4X4,Automatic,2012,Gas,5700,150000,Red,Mohandessin,1000000
270,Byd,F3,Sedan,Manual,2020,Gas,1500,17000,Mocha,Shobra,270000
271,Audi,80,Sedan,Manual,1995,Gas,1600,350000,Black,Cairo,85000
272,Speranza,A113,Hatchback,Automatic,2005,Gas,1500,15000,Black,Giza,75000
273,Renault,Megane,Sedan,Automatic,2020,Gas,1600,68000,Silver,Nasr city,590000
274,Kia,Cerato,Sedan,Automatic,2010,Gas,1600,105000,Black,Nasr city,295000
275,BMW,318,Sedan,Automatic,2011,Gas,2000,168000,Black,Tagamo3 - New Cairo,435000
276,Mercedes,C 180,Sedan,Automatic,2018,Gas,1600,50000,Dark blue,Tagamo3 - New Cairo,1550000
277,Hyundai,Elantra,Sedan,Automatic,2006,Gas,1600,245000,Black,Cairo,200000
278,Daihatsu,SIRION,Hatchback,Automatic,1999,Gas,1300,172000,Gray,Cairo,97000
279,Suzuki,Vitara,SUV,Manual,2007,Gas,1000,20000,Red,Nasr city,77000
280,BMW,318,Sedan,Automatic,2009,Gas,2000,274000,Black,Tagamo3 - New Cairo,420000
281,Speranza,A516,Sedan,Manual,2008,Gas,1600,280000,Black,Hurghada,75000
282,Kia,Cerato,Sedan,Automatic,2015,Gas,1600,146000,Blue,Mansoura,550000
283,Kia,Cerato,Sedan,Automatic,2014,Gas,1600,183000,Gray,Cairo,395000
284,MG,6,Sedan,Automatic,2022,Gas,1500,52000,White,Helwan,650000
285,Toyota,Corolla,Sedan,Manual,2011,Gas,1600,77000,Silver,Tanta,400000
286,Nissan,Sunny,Sedan,Automatic,2014,Gas,1500,149000,Bronze,Shobra,205000
